"dataset","original_name","unified_name","cluster_id","hierarchical_level_1","hierarchical_level_2","hierarchical_level_3","hierarchical_level_4","major_type","subtype","region"
"mouse10x_2020","10_Lamp5","Cluster_1",1,"Neuron","Inhibitory","Lamp5","10_Lamp5","Inhibitory","Lamp5",NA
"mouse10x_2020","11_Lamp5","Cluster_1",1,"Neuron","Inhibitory","Lamp5","11_Lamp5","Inhibitory","Lamp5",NA
"mouse10x_2020","7_Lamp5 Lhx6","Cluster_1",1,"Neuron","Inhibitory","Lamp5","7_Lamp5 Lhx6","Inhibitory","Lamp5",NA
"mouse10x_2020","5_Lamp5 Lhx6","Cluster_1",1,"Neuron","Inhibitory","Lamp5","5_Lamp5 Lhx6","Inhibitory","Lamp5",NA
"mouse10x_2020","6_Lamp5 Lhx6","Cluster_1",1,"Neuron","Inhibitory","Lamp5","6_Lamp5 Lhx6","Inhibitory","Lamp5",NA
"mouse10x_2020","8_Lamp5 Lhx6","Cluster_1",1,"Neuron","Inhibitory","Lamp5","8_Lamp5 Lhx6","Inhibitory","Lamp5",NA
"mouse10x_2020","9_Lamp5 Lhx6","Cluster_1",1,"Neuron","Inhibitory","Lamp5","9_Lamp5 Lhx6","Inhibitory","Lamp5",NA
"mouse10x_2020","20_Pax6","Cluster_1",1,"Other","Other","Other","20_Pax6","Other",NA,NA
"mouse10x_2020","28_Ntng1 HPF","Cluster_1",1,"Other","Other","Other","28_Ntng1 HPF","Other",NA,"HPF"
"mouse10x_2020","17_Lamp5","Cluster_1",1,"Neuron","Inhibitory","Lamp5","17_Lamp5","Inhibitory","Lamp5",NA
"mouse10x_2020","14_Lamp5","Cluster_1",1,"Neuron","Inhibitory","Lamp5","14_Lamp5","Inhibitory","Lamp5",NA
"mouse10x_2020","15_Lamp5","Cluster_1",1,"Neuron","Inhibitory","Lamp5","15_Lamp5","Inhibitory","Lamp5",NA
"mouse10x_2020","16_Lamp5","Cluster_1",1,"Neuron","Inhibitory","Lamp5","16_Lamp5","Inhibitory","Lamp5",NA
"mouse10x_2020","62_Vip Igfbp6","Cluster_1",1,"Neuron","Inhibitory","Vip","62_Vip Igfbp6","Inhibitory","Vip",NA
"mouse10x_2020","37_Sncg","Cluster_1",1,"Neuron","Inhibitory","Sncg","37_Sncg","Inhibitory","Sncg",NA
"mouse10x_2020","39_Sncg","Cluster_1",1,"Neuron","Inhibitory","Sncg","39_Sncg","Inhibitory","Sncg",NA
"mouse10x_2020","29_Ntng1 HPF","Cluster_1",1,"Other","Other","Other","29_Ntng1 HPF","Other",NA,"HPF"
"mouse10x_2020","56_Vip HPF","Cluster_1",1,"Neuron","Inhibitory","Vip","56_Vip HPF","Inhibitory","Vip","HPF"
"mouse10x_2020","38_Sncg","Cluster_1",1,"Neuron","Inhibitory","Sncg","38_Sncg","Inhibitory","Sncg",NA
"mouse10x_2020","32_Sncg","Cluster_1",1,"Neuron","Inhibitory","Sncg","32_Sncg","Inhibitory","Sncg",NA
"mouse10x_2020","33_Sncg","Cluster_1",1,"Neuron","Inhibitory","Sncg","33_Sncg","Inhibitory","Sncg",NA
"mouse10x_2020","31_Sncg","Cluster_1",1,"Neuron","Inhibitory","Sncg","31_Sncg","Inhibitory","Sncg",NA
