"unified_name","n_total","n_datasets","grand_mean","mean_Young","mean_Old","mean_Dorsal","mean_Ventral","mean_Nullip","mean_Parous","n_Young","n_Old","n_Dorsal","n_Ventral","n_Nullip","n_Parous"
"386_Micro-PVM",60,1,0.0145278556847519,0.0179089170885558,0.011146794280948,0.0128394888697456,0.0162162224997582,0.0139962778557467,0.0147936445992545,30,30,30,30,20,40
"CA1/CA2_dorsal",60,1,0.00510735409312615,0.00310805118105374,0.00710665700519856,0.0102147081862523,0,0.00918796838701234,0.00306704694618305,30,30,30,30,20,40
"Cluster_25_Subi",120,2,0.0990678182650732,0.100454565484986,0.0976810710451605,0.0742510310459861,0.12388460548416,0.100662894297411,0.098270280248904,60,60,60,60,40,80
"Cluster_28_Subi",180,2,0.0535489994165683,0.0494288573811866,0.05766914145195,0.0518594844402744,0.0552385143928622,0.0537829593065032,0.0534320194716008,90,90,90,90,60,120
"Cluster_33_Caja",180,1,0.110736389246858,0.113104201879209,0.108368576614506,0.10243083037361,0.119041948120105,0.11202048464465,0.110094341547962,90,90,90,90,60,120
"Cluster_53_Pyra",120,1,0.488947136949532,0.489977119082242,0.487917154816821,0.488527993991401,0.489366279907662,0.486630916449683,0.490105247199456,60,60,60,60,40,80
"DG",60,1,0.000845614810716984,0.000368366746792656,0.00132286287464131,2.20844633066801e-06,0.0016890211751033,0.00132453151212002,0.000606156460015465,30,30,30,30,20,40
"DG/CA1/CA2/CA3_dorsal",120,2,0.507264068441687,0.50463576869774,0.509892368185634,0.544922904082282,0.469605232801092,0.503282015550372,0.509255094887345,60,60,60,60,40,80
"Microglia",60,1,0.00012815587227743,0,0.000256311744554859,0.000105490165784272,0.000150821578770587,2.85357616827933e-05,0.000177965927574748,30,30,30,30,20,40
"Oligodendrocyte",60,1,0.150774818346648,0.150563234750009,0.150986401943287,0.178585256224506,0.122964380468789,0.150097908918382,0.15111327306078,30,30,30,30,20,40
"Pvalb/Vip_IN",60,1,0.000545618798339134,0.000978616931380797,0.000112620665297471,0.00016899286509645,0.000922244731581818,0.000423038698071045,0.000606908848473179,30,30,30,30,20,40
"Sncg_IN",120,1,0.0421052223041971,0.0404005689566463,0.0438098756517478,0.0381213402603058,0.0460891043480883,0.0424542127020806,0.0419307271052553,60,60,60,60,40,80
"Sst_IN",120,2,0.0162955867144562,0.0183395813494312,0.0142515920794812,0.0131452049667192,0.0194459684621932,0.0159141020743815,0.0164863290344935,60,60,60,60,40,80
"Subiculum",120,2,0.0139264860806823,0.0159274756987167,0.0119254964626479,0.0086379810536212,0.0192149911077434,0.0148215018300439,0.0134789782060015,60,60,60,60,40,80
