"cell_type","description","meta_score","confidence_tier","n_methods","database"
"Sst_IN","catalytic activity",7.114,"Ultra-High",4,"GO Molecular Function"
"Sst_IN","ion binding",5.266,"High",4,"GO Molecular Function"
"Sst_IN","catalytic activity, acting on a protein",5.222,"High",4,"GO Molecular Function"
"Sst_IN","ATP-dependent activity",5.149,"High",4,"GO Molecular Function"
"Sst_IN","small molecule binding",4.962,"Moderate",4,"GO Molecular Function"
"Sst_IN","endomembrane system",4.241,"Moderate",4,"GO Cellular Component"
"Sst_IN","extracellular matrix structural constituent",4.059,"Moderate",4,"GO Molecular Function"
"Sst_IN","ATP hydrolysis activity",3.842,"Moderate",4,"GO Molecular Function"
"Sst_IN","organelle membrane",3.739,"Moderate",4,"GO Cellular Component"
"Sst_IN","purine ribonucleoside triphosphate binding",3.699,"Moderate",4,"GO Molecular Function"
"Sst_IN","ATP binding",3.579,"Moderate",4,"GO Molecular Function"
"Sst_IN","hydrolase activity",3.538,"Moderate",4,"GO Molecular Function"
"Sst_IN","bounding membrane of organelle",3.517,"Moderate",4,"GO Cellular Component"
"Sst_IN","REACTOME_MET_ACTIVATES_PTK2_SIGNALING",3.48,"Moderate",4,"MSigDB Reactome"
"Sst_IN","REACTOME_MET_PROMOTES_CELL_MOTILITY",3.48,"Moderate",4,"MSigDB Reactome"
"Sst_IN","REACTOME_SIGNALING_BY_MET",3.48,"Moderate",4,"MSigDB Reactome"
"Sst_IN","cation binding",3.453,"Moderate",4,"GO Molecular Function"
"Pvalb/Vip_IN","ATP-dependent activity",3.426,"Moderate",4,"GO Molecular Function"
"Sst_IN","REACTOME_DEVELOPMENTAL_CELL_LINEAGES_OF_THE_EXOCRINE_PANCREAS",3.417,"Moderate",4,"MSigDB Reactome"
"Sst_IN","REACTOME_DEVELOPMENTAL_LINEAGE_OF_PANCREATIC_DUCTAL_CELLS",3.412,"Moderate",4,"MSigDB Reactome"
"Sst_IN","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",3.37,"Moderate",4,"MSigDB Hallmark"
"Pvalb/Vip_IN","REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS",3.315,"Moderate",4,"MSigDB Reactome"
"Sst_IN","metal ion binding",3.306,"Moderate",4,"GO Molecular Function"
"Sst_IN","REACTOME_DEVELOPMENTAL_CELL_LINEAGES",3.268,"Moderate",4,"MSigDB Reactome"
"Pvalb/Vip_IN","extracellular space",3.247,"Moderate",4,"GO Cellular Component"
"Sst_IN","small GTPase binding",3.244,"Moderate",4,"GO Molecular Function"
"Sst_IN","GTPase binding",3.244,"Moderate",4,"GO Molecular Function"
"Sst_IN","nucleotide binding",3.144,"Moderate",4,"GO Molecular Function"
"Sst_IN","vesicle membrane",3.114,"Moderate",4,"GO Cellular Component"
"Sst_IN","heterocyclic compound binding",3.095,"Moderate",4,"GO Molecular Function"
"Sst_IN","ribonucleotide binding",3.094,"Moderate",4,"GO Molecular Function"
"Sst_IN","purine ribonucleotide binding",3.094,"Moderate",4,"GO Molecular Function"
"Pvalb/Vip_IN","Peptide ligand-binding receptors",3.071,"Moderate",4,"Reactome Pathways"
"Sst_IN","macromolecule localization",3.064,"Moderate",4,"GO Biological Process"
"Pvalb/Vip_IN","endomembrane system",3.051,"Moderate",4,"GO Cellular Component"
"Sst_IN","establishment of protein localization",3.029,"Moderate",4,"GO Biological Process"
"386_Micro-PVM","complex of collagen trimers",3.01,"Moderate",4,"GO Cellular Component"
