"cell_type","description","meta_score","confidence_tier","n_methods","database"
"386_Micro-PVM","signaling receptor activity",7,"High",4,"GO Molecular Function"
"386_Micro-PVM","molecular transducer activity",7,"High",4,"GO Molecular Function"
"386_Micro-PVM","transmembrane signaling receptor activity",4.966,"Moderate",4,"GO Molecular Function"
"Oligodendrocyte","signaling receptor activity",4.47,"Moderate",4,"GO Molecular Function"
"Oligodendrocyte","molecular transducer activity",4.47,"Moderate",4,"GO Molecular Function"
"386_Micro-PVM","G protein-coupled receptor activity",4.002,"Moderate",4,"GO Molecular Function"
"Oligodendrocyte","transmembrane signaling receptor activity",3.766,"Moderate",4,"GO Molecular Function"
"386_Micro-PVM","Neuroactive ligand-receptor interaction",3.763,"Moderate",4,"KEGG Pathways"
"Oligodendrocyte","Neuroactive ligand-receptor interaction",3.222,"Moderate",4,"KEGG Pathways"
"Oligodendrocyte","postsynaptic density membrane",3.069,"Moderate",4,"GO Cellular Component"
"Oligodendrocyte","postsynaptic specialization membrane",3.038,"Moderate",4,"GO Cellular Component"
