"ID","Description","n_studies","n_cell_types","n_percentages","weighted_meta_pvalue","weighted_meta_padj","weighted_mean_NES","weighted_mean_pvalue","weighted_mean_padj","weighted_enhanced_score","effect_consistency","min_NES","max_NES","nes_range","individual_NES","individual_pvalue","individual_padj","individual_percentages","individual_cell_types","individual_weights","database","meta_group","weighted_analysis","analysis_version","weighted_meta_padj_corrected","log2_fold_enrichment","mean_nes","meta_fdr","meta_pvalue","meta_score","n_methods","cell_type","effect","regulation_pattern_set_membership","confidence_tier"
"GO:0045202","synapse",2,1,2,3.82965930420279e-14,3.35405964488796e-12,4.65845619289239,1.00195975452777e-15,1.48292289521798e-13,4.65845619289239,0.920377453810713,4.42385191715113,4.95171153756898,0.527859620417853,"4.424;4.952","1.8e-15;1.0e-19","2.7e-13;2.0e-17","5pct;10pct","376_Astro;376_Astro","0.5;0.4","GO_CC","376_Astro",TRUE,"v7_weighted_standalone",2.31694387904269e-11,4.65845619289239,4.65845619289239,3.35405964488796e-12,3.82965930420279e-14,4.65845619289239,2,"376_Astro","parity","Over-represented","Moderate"
"GO:0120025","plasma membrane bounded cell projection",2,1,2,1.32602183275739e-11,4.05402316695133e-10,4.31461113224507,1.06578558613531e-13,7.86706175659111e-12,4.31461113224507,0.957912631898074,4.20009560759551,4.45775553805701,0.257659930461501,"4.2;4.458","1.9e-13;1.1e-15","1.4e-11;3.5e-14","5pct;10pct","376_Astro;376_Astro","0.5;0.4","GO_CC","376_Astro",TRUE,"v7_weighted_standalone",4.01121604409111e-09,4.31461113224507,4.31461113224507,4.05402316695133e-10,1.32602183275739e-11,4.31461113224507,2,"376_Astro","parity","Over-represented","Moderate"
"GO:0043005","neuron projection",3,1,3,3.86436234552446e-11,1.44536800839424e-09,4.30770820787504,2.07504322986247e-10,2.26052426159676e-08,4.30770820787504,0.864890467157345,3.54906280878926,4.6618072439237,1.11274443513444,"4.176;4.662;3.549","4.3e-13;7.7e-16;2.1e-09","2.1e-11;3.0e-14;2.3e-07","5pct;10pct;25pct","376_Astro;376_Astro;376_Astro","0.5;0.4;0.1","GO_CC","376_Astro",TRUE,"v7_weighted_standalone",5.48524718445948e-09,4.30770820787504,4.30770820787504,1.44536800839424e-09,3.86436234552446e-11,4.30770820787504,3,"376_Astro","parity","Over-represented","Moderate"
"GO:0030054","cell junction",2,1,2,6.34656699028369e-11,1.23316315313084e-09,4.24501569481432,5.42273450826118e-12,1.14657800062017e-10,4.24501569481432,0.886022751815137,3.93815834633998,4.62858738040724,0.690429034067266,"3.938;4.629","9.8e-12;4.6e-16","2.1e-10;2.2e-14","5pct;10pct","376_Astro;376_Astro","0.5;0.4","GO_CC","376_Astro",TRUE,"v7_weighted_standalone",5.48524718445948e-09,4.24501569481432,4.24501569481432,1.23316315313084e-09,6.34656699028369e-11,4.24501569481432,2,"376_Astro","parity","Over-represented","Moderate"
"GO:0043209","myelin sheath",3,1,3,5.5290794188514e-11,1.75045117596517e-09,4.24276711582511,4.33795087674217e-11,8.02526822810159e-10,4.24276711582511,0.889743840698996,3.82636084996504,4.67089615196433,0.844535301999292,"3.826;4.656;4.671","8.7e-11;1.9e-16;7.7e-17","1.6e-09;1.2e-14;2.5e-14","5pct;10pct;25pct","376_Astro;376_Astro;376_Astro","0.5;0.4;0.1","GO_CC","376_Astro",TRUE,"v7_weighted_standalone",5.48524718445948e-09,4.24276711582511,4.24276711582511,1.75045117596517e-09,5.5290794188514e-11,4.24276711582511,3,"376_Astro","parity","Over-represented","Moderate"
"GO:0042995","cell projection",2,1,2,5.67308338400642e-11,1.04555444816344e-09,4.2359154011798,9.33951294412872e-13,2.76429639862361e-11,4.2359154011798,0.948415966146884,4.09801715139865,4.40828821340624,0.310271062007589,"4.098;4.408","1.7e-12;3.1e-15","5.0e-11;8.7e-14","5pct;10pct","376_Astro;376_Astro","0.5;0.4","GO_CC","376_Astro",TRUE,"v7_weighted_standalone",5.48524718445948e-09,4.2359154011798,4.2359154011798,1.04555444816344e-09,5.67308338400642e-11,4.2359154011798,2,"376_Astro","parity","Over-represented","Moderate"
"GO:0030424","axon",3,1,3,2.48599074412045e-11,9.87671487922892e-10,4.2301006263467,2.40807304766098e-11,3.72095196472886e-09,4.2301006263467,0.875579310102958,3.73398659099515,4.71051749861779,0.976530907622636,"3.945;4.711;3.734","3.1e-12;3.4e-17;2.3e-10","7.7e-11;3.4e-15;3.7e-08","5pct;10pct;25pct","376_Astro;376_Astro;376_Astro","0.5;0.4;0.1","GO_CC","376_Astro",TRUE,"v7_weighted_standalone",5.01341466730958e-09,4.2301006263467,4.2301006263467,9.87671487922892e-10,2.48599074412045e-11,4.2301006263467,3,"376_Astro","parity","Over-represented","Moderate"
"GO:0051234","establishment of localization",2,1,2,8.51995286612027e-11,2.68472456404429e-08,4.15557973872569,1.63392387544084e-13,1.31327388518038e-10,4.15557973872569,0.997757459292443,4.14972131256466,4.16290277142699,0.0131814588623289,"4.15;4.163","1.5e-13;1.8e-13","1.0e-10;1.6e-10","5pct;10pct","376_Astro;376_Astro","0.5;0.4","GO_BP","376_Astro",TRUE,"v7_weighted_standalone",6.44321435500345e-09,4.15557973872569,4.15557973872569,2.68472456404429e-08,8.51995286612027e-11,4.15557973872569,2,"376_Astro","parity","Over-represented","Moderate"
"GO:0098794","postsynapse",3,1,3,4.26266546463363e-10,1.03120573481163e-08,4.08477233103425,1.25287963487202e-09,1.0238133851633e-07,4.08477233103425,0.873037773490091,3.3892053765024,4.37646684941141,0.987261472909007,"3.991;4.376;3.389","1.6e-12;5.9e-14;1.3e-08","5.0e-11;1.4e-12;1.0e-06","5pct;10pct;25pct","376_Astro;376_Astro;376_Astro","0.5;0.4;0.1","GO_CC","376_Astro",TRUE,"v7_weighted_standalone",2.85473636016037e-08,4.08477233103425,4.08477233103425,1.03120573481163e-08,4.26266546463363e-10,4.08477233103425,3,"376_Astro","parity","Over-represented","Moderate"
"GO:0006810","transport",2,1,2,4.71857249613285e-10,6.70598968867886e-08,4.05273067622912,1.42218316964078e-12,4.70313889199772e-10,4.05273067622912,0.990123621430009,4.02755303280875,4.08420273050459,0.0566496976958382,"4.028;4.084","2.1e-12;5.7e-13","7.1e-10;1.6e-10","5pct;10pct","376_Astro;376_Astro","0.5;0.4","GO_BP","376_Astro",TRUE,"v7_weighted_standalone",2.85473636016037e-08,4.05273067622912,4.05273067622912,6.70598968867886e-08,4.71857249613285e-10,4.05273067622912,2,"376_Astro","parity","Over-represented","Moderate"
