"ID","Description","n_studies","n_cell_types","n_percentages","weighted_meta_pvalue","weighted_meta_padj","weighted_mean_NES","weighted_mean_pvalue","weighted_mean_padj","weighted_enhanced_score","effect_consistency","min_NES","max_NES","nes_range","individual_NES","individual_pvalue","individual_padj","individual_percentages","individual_cell_types","individual_weights","database","meta_group","weighted_analysis","analysis_version","weighted_meta_padj_corrected","log2_fold_enrichment","mean_nes","meta_fdr","meta_pvalue","meta_score","n_methods","cell_type","effect","regulation_pattern_set_membership","confidence_tier"
"GO:0045202","synapse",2,1,2,5.5806396364958e-14,4.87951567274655e-12,4.71222232194322,9.45357785492902e-16,1.39919316365876e-13,4.71222232194322,0.93559732514579,4.52050328221763,4.95187112160021,0.43136783938258,"4.521;4.952","1.7e-15;2.9e-19","2.5e-13;5.8e-17","5pct;10pct","78_Sst_HPF;78_Sst_HPF","0.5;0.4","GO_CC","78_Sst_HPF",TRUE,"v7_weighted_standalone",3.34280314226098e-11,4.71222232194322,4.71222232194322,4.87951567274655e-12,5.5806396364958e-14,4.71222232194322,2,"78_Sst_HPF","parity","Over-represented","Moderate"
"GO:0120025","plasma membrane bounded cell projection",2,1,2,1.32293001931235e-11,4.04461615643678e-10,4.35374506897666,9.70404150495178e-14,7.15888842874838e-12,4.35374506897666,0.967770151066501,4.26532418194175,4.46427117777028,0.198946995828532,"4.265;4.464","1.7e-13;1.2e-15","1.3e-11;4.0e-14","5pct;10pct","78_Sst_HPF;78_Sst_HPF","0.5;0.4","GO_CC","78_Sst_HPF",TRUE,"v7_weighted_standalone",3.43071277348512e-09,4.35374506897666,4.35374506897666,4.04461615643678e-10,1.32293001931235e-11,4.35374506897666,2,"78_Sst_HPF","parity","Over-represented","Moderate"
"GO:0043005","neuron projection",3,1,3,2.48533712644877e-11,9.33517513151216e-10,4.29996087343456,1.21488406391469e-10,1.32320946584115e-08,4.29996087343456,0.861255250081387,3.54691364530219,4.6914328696479,1.14451922434571,"4.137;4.691;3.547","3.4e-13;3.6e-16;1.2e-09","1.7e-11;1.4e-14;1.3e-07","5pct;10pct;25pct","78_Sst_HPF;78_Sst_HPF;78_Sst_HPF","0.5;0.4;0.1","GO_CC","78_Sst_HPF",TRUE,"v7_weighted_standalone",3.43071277348512e-09,4.29996087343456,4.29996087343456,9.33517513151216e-10,2.48533712644877e-11,4.29996087343456,3,"78_Sst_HPF","parity","Over-represented","Moderate"
"GO:0030424","axon",3,1,3,3.43644017377475e-11,1.26714207540437e-09,4.29930337644011,1.76960479864061e-11,1.92084893988713e-09,4.29930337644011,0.880014466768314,3.80291057568887,4.76518696467427,0.962276388985399,"4.026;4.765;3.803","1.4e-11;1.5e-17;1.1e-10","2.9e-10;1.5e-15;1.8e-08","5pct;10pct;25pct","78_Sst_HPF;78_Sst_HPF;78_Sst_HPF","0.5;0.4;0.1","GO_CC","78_Sst_HPF",TRUE,"v7_weighted_standalone",3.43071277348512e-09,4.29930337644011,4.29930337644011,1.26714207540437e-09,3.43644017377475e-11,4.29930337644011,3,"78_Sst_HPF","parity","Over-represented","Moderate"
"GO:0030054","cell junction",2,1,2,3.2166584676575e-11,7.47473655400404e-10,4.2867759597847,4.42221162895671e-12,1.09082996799295e-10,4.2867759597847,0.910059437618103,4.04271480767146,4.59185239992625,0.549137592254787,"4.043;4.592","8e-12;1e-16","2.0e-10;6.5e-15","5pct;10pct","78_Sst_HPF;78_Sst_HPF","0.5;0.4","GO_CC","78_Sst_HPF",TRUE,"v7_weighted_standalone",3.43071277348512e-09,4.2867759597847,4.2867759597847,7.47473655400404e-10,3.2166584676575e-11,4.2867759597847,2,"78_Sst_HPF","parity","Over-represented","Moderate"
"GO:0042995","cell projection",2,1,2,1.10229838277191e-10,2.02529001612544e-09,4.25211362078059,1.3206151717935e-12,3.90829425644734e-11,4.25211362078059,0.961719909146004,4.14949682758605,4.38038461227376,0.230887784687717,"4.149;4.38","2.4e-12;1.1e-14","7.0e-11;3.2e-13","5pct;10pct","78_Sst_HPF;78_Sst_HPF","0.5;0.4","GO_CC","78_Sst_HPF",TRUE,"v7_weighted_standalone",8.25345914100471e-09,4.25211362078059,4.25211362078059,2.02529001612544e-09,1.10229838277191e-10,4.25211362078059,2,"78_Sst_HPF","parity","Over-represented","Moderate"
"GO:0043209","myelin sheath",3,1,3,2.92774252234404e-11,8.37922691384807e-10,4.25037299841887,1.30240345975574e-11,2.40950694882828e-10,4.25037299841887,0.892556575889087,3.86782032202136,4.75260790332005,0.884787581298696,"3.868;4.603;4.753","2.6e-11;1.3e-16;1.4e-16","4.8e-10;6.5e-15;4.7e-14","5pct;10pct;25pct","78_Sst_HPF;78_Sst_HPF;78_Sst_HPF","0.5;0.4;0.1","GO_CC","78_Sst_HPF",TRUE,"v7_weighted_standalone",3.43071277348512e-09,4.25037299841887,4.25037299841887,8.37922691384807e-10,2.92774252234404e-11,4.25037299841887,3,"78_Sst_HPF","parity","Over-represented","Moderate"
"GO:0098794","postsynapse",3,1,3,3.64252397246409e-10,9.06479576313802e-09,4.15954369545407,2.29188309572165e-09,1.87309327919026e-07,4.15954369545407,0.869054448541566,3.43897311584378,4.47839458687977,1.039421471036,"4.049;4.478;3.439","2.1e-12;2.3e-14;2.3e-08","7.0e-11;5.7e-13;1.9e-06","5pct;10pct;25pct","78_Sst_HPF;78_Sst_HPF;78_Sst_HPF","0.5;0.4;0.1","GO_CC","78_Sst_HPF",TRUE,"v7_weighted_standalone",2.42430206611777e-08,4.15954369545407,4.15954369545407,9.06479576313802e-09,3.64252397246409e-10,4.15954369545407,3,"78_Sst_HPF","parity","Over-represented","Moderate"
"GO:0051234","establishment of localization",2,1,2,1.05386811301253e-10,3.52529640393022e-08,4.14263321106532,2.16836315353452e-13,1.75983675711613e-10,4.14263321106532,0.989110828092361,4.11425561979684,4.17810520015093,0.0638495803540877,"4.114;4.178","2.7e-13;1.5e-13","1.8e-10;1.7e-10","5pct;10pct","78_Sst_HPF;78_Sst_HPF","0.5;0.4","GO_BP","78_Sst_HPF",TRUE,"v7_weighted_standalone",8.25345914100471e-09,4.14263321106532,4.14263321106532,3.52529640393022e-08,1.05386811301253e-10,4.14263321106532,2,"78_Sst_HPF","parity","Over-represented","Moderate"
"GO:0006810","transport",2,1,2,7.16624193557917e-10,9.15209864475777e-08,4.01402158609599,2.17581578359381e-12,5.60707475365862e-10,4.01402158609599,0.981395366747635,3.96701393212947,4.07278115355415,0.105767221424687,"3.967;4.073","1.2e-12;3.4e-12","4.1e-10;7.5e-10","5pct;10pct","78_Sst_HPF;78_Sst_HPF","0.5;0.4","GO_BP","78_Sst_HPF",TRUE,"v7_weighted_standalone",4.29257891941192e-08,4.01402158609599,4.01402158609599,9.15209864475777e-08,7.16624193557917e-10,4.01402158609599,2,"78_Sst_HPF","parity","Over-represented","Moderate"
"GO:0065008","regulation of biological quality",2,1,2,8.11192542333734e-10,1.20883694564637e-07,3.99433194011038,3.07403884828445e-12,8.1403867995601e-10,3.99433194011038,0.960865167076636,3.89577720178748,4.11752536301402,0.221748161226542,"3.896;4.118","4.9e-12;8.1e-13","1.1e-09;4.5e-10","5pct;10pct","78_Sst_HPF;78_Sst_HPF","0.5;0.4","GO_BP","78_Sst_HPF",TRUE,"v7_weighted_standalone",4.41731211689006e-08,3.99433194011038,3.99433194011038,1.20883694564637e-07,8.11192542333734e-10,3.99433194011038,2,"78_Sst_HPF","parity","Over-represented","Moderate"
"GO:0051179","localization",2,1,2,1.39329119877946e-09,1.54371724325973e-07,3.97376448724135,5.76531306128467e-12,1.11279233902991e-09,3.97376448724135,0.979990257319192,3.92370811110663,4.03633495740974,0.112626846303104,"3.924;4.036","9.2e-12;1.5e-12","1.6e-09;5.6e-10","5pct;10pct","78_Sst_HPF;78_Sst_HPF","0.5;0.4","GO_BP","78_Sst_HPF",TRUE,"v7_weighted_standalone",6.95484523390745e-08,3.97376448724135,3.97376448724135,1.54371724325973e-07,1.39329119877946e-09,3.97376448724135,2,"78_Sst_HPF","parity","Over-represented","Moderate"
"GO:0098793","presynapse",3,1,3,4.33121328420436e-08,6.59292257431218e-07,3.82805032934886,5.56211577194028e-08,1.99606276677678e-06,3.82805032934886,0.837709788252009,3.09615923375575,4.2817655237809,1.18560629002516,"3.611;4.282;3.096","2.5e-09;6.3e-13;5.4e-07","4.1e-08;1.4e-11;2.0e-05","5pct;10pct;25pct","78_Sst_HPF;78_Sst_HPF;78_Sst_HPF","0.5;0.4;0.1","GO_CC","78_Sst_HPF",TRUE,"v7_weighted_standalone",1.99568981326032e-06,3.82805032934886,3.82805032934886,6.59292257431218e-07,4.33121328420436e-08,3.82805032934886,3,"78_Sst_HPF","parity","Over-represented","Moderate"
