"ID","Description","n_studies","n_cell_types","n_percentages","weighted_meta_pvalue","weighted_meta_padj","weighted_mean_NES","weighted_mean_pvalue","weighted_mean_padj","weighted_enhanced_score","effect_consistency","min_NES","max_NES","nes_range","individual_NES","individual_pvalue","individual_padj","individual_percentages","individual_cell_types","individual_weights","database","meta_group","weighted_analysis","analysis_version","weighted_meta_padj_corrected","log2_fold_enrichment","mean_nes","meta_fdr","meta_pvalue","meta_score","n_methods","cell_type","effect","regulation_pattern_set_membership","confidence_tier"
"GO:0045202","synapse",4,2,2,3.7610887312724e-25,2.46410899435339e-21,4.73343783608308,3.76445182146138e-15,5.57146661557202e-13,4.73343783608308,0.939937534646194,4.48066491418066,5.03503703086537,0.554372116684712,"4.481;4.978;4.55;5.035","1.2e-14;3.5e-19;1.4e-15;3.7e-19","1.8e-12;6.9e-17;2.0e-13;7.2e-17","5pct;10pct;5pct;10pct","356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do","0.5;0.4;0.5;0.4","GO_CC","CA3_do_combined",TRUE,"v7_weighted_standalone",2.30930848100125e-22,4.73343783608308,4.73343783608308,2.46410899435339e-21,3.7610887312724e-25,4.73343783608308,4,"CA3_do_combined","parity","Over-represented","Moderate"
"GO:0120025","plasma membrane bounded cell projection",4,2,2,9.1155081792388e-20,4.70121744372474e-17,4.37082723650686,3.88533124955919e-13,1.90966662493061e-11,4.37082723650686,0.959385797115471,4.19423171662836,4.54466778243735,0.350436065808985,"4.194;4.533;4.278;4.545","1.0e-12;6.2e-15;3.4e-13;1.1e-14","5.2e-11;1.8e-13;1.7e-11;3.7e-13","5pct;10pct;5pct;10pct","356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do","0.5;0.4;0.5;0.4","GO_CC","CA3_do_combined",TRUE,"v7_weighted_standalone",1.11938440441052e-17,4.37082723650686,4.37082723650686,4.70121744372474e-17,9.1155081792388e-20,4.37082723650686,4,"CA3_do_combined","parity","Over-represented","Moderate"
"GO:0043005","neuron projection",6,2,3,8.95498365033153e-21,1.59956751728982e-17,4.35763263138552,7.28433330693306e-11,7.93562679758786e-09,4.35763263138552,0.880000029757102,3.54287373900214,4.67282803477734,1.1299542957752,"4.194;4.669;3.543;4.335;4.673;3.597","3.4e-13;2.1e-16;5.9e-10;1.5e-13;2.7e-16;8.7e-10","2.5e-11;8.4e-15;6.4e-08;1.1e-11;1.1e-14;9.5e-08","5pct;10pct;25pct;5pct;10pct;25pct","356_CA3_do;356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do;358_CA3_do","0.5;0.4;0.1;0.5;0.4;0.1","GO_CC","CA3_do_combined",TRUE,"v7_weighted_standalone",2.74917998065178e-18,4.35763263138552,4.35763263138552,1.59956751728982e-17,8.95498365033153e-21,4.35763263138552,6,"CA3_do_combined","parity","Over-represented","Moderate"
"GO:0030424","axon",6,2,3,1.25049212580179e-19,1.128038237005e-16,4.32227178647843,2.22010111266522e-11,2.84912078765913e-09,4.32227178647843,0.885789231676904,3.68042010821937,4.78177062822805,1.10135052000868,"4.062;4.775;3.68;4.09;4.782;3.778","1.4e-11;1.6e-16;1.6e-10;8.3e-12;6.4e-17;1.7e-10","2.9e-10;7.8e-15;2.7e-08;1.8e-10;6.3e-15;2.8e-08","5pct;10pct;25pct;5pct;10pct;25pct","356_CA3_do;356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do;358_CA3_do","0.5;0.4;0.1;0.5;0.4;0.1","GO_CC","CA3_do_combined",TRUE,"v7_weighted_standalone",1.27967027540383e-17,4.32227178647843,4.32227178647843,1.128038237005e-16,1.25049212580179e-19,4.32227178647843,6,"CA3_do_combined","parity","Over-represented","Moderate"
"GO:0030054","cell junction",4,2,2,2.78577801126257e-20,1.40975059622417e-17,4.30023800282531,3.38760881109558e-12,8.35628873830453e-11,4.30023800282531,0.910735355241191,3.95992382046436,4.67214499909254,0.712221178628182,"3.96;4.67;4.047;4.672","5.1e-12;6.6e-17;7.1e-12;1.4e-16","1.3e-10;6.5e-15;1.7e-10;7.1e-15","5pct;10pct;5pct;10pct","356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do","0.5;0.4;0.5;0.4","GO_CC","CA3_do_combined",TRUE,"v7_weighted_standalone",5.08542096346595e-18,4.30023800282531,4.30023800282531,1.40975059622417e-17,2.78577801126257e-20,4.30023800282531,4,"CA3_do_combined","parity","Over-represented","Moderate"
"GO:0043209","myelin sheath",6,2,3,3.31297782636218e-20,2.50385118919739e-17,4.29526141141622,1.68890891128436e-11,3.12454202679171e-10,4.29526141141622,0.900612442781098,3.86807963298802,4.80881054862962,0.940730915641604,"3.896;4.62;4.716;3.868;4.77;4.809","2.4e-11;1.5e-16;1.7e-16;4.4e-11;1.3e-16;1.0e-16","4.4e-10;7.8e-15;5.4e-14;8.1e-10;7.1e-15;3.3e-14","5pct;10pct;25pct;5pct;10pct;25pct","356_CA3_do;356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do;358_CA3_do","0.5;0.4;0.1;0.5;0.4;0.1","GO_CC","CA3_do_combined",TRUE,"v7_weighted_standalone",5.08542096346595e-18,4.29526141141622,4.29526141141622,2.50385118919739e-17,3.31297782636218e-20,4.29526141141622,6,"CA3_do_combined","parity","Over-represented","Moderate"
"GO:0042995","cell projection",4,2,2,2.8004581318958e-19,8.84001189608538e-17,4.28569021077116,7.69097632118323e-13,2.41994475052642e-11,4.28569021077116,0.955827424676712,4.09124613025152,4.47046471992293,0.379218589671407,"4.091;4.457;4.195;4.47","2.0e-12;1.6e-14;7.1e-13;1.5e-14","6.0e-11;4.0e-13;2.6e-11;4.1e-13","5pct;10pct;5pct;10pct","356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do","0.5;0.4;0.5;0.4","GO_CC","CA3_do_combined",TRUE,"v7_weighted_standalone",2.45640184712003e-17,4.28569021077116,4.28569021077116,8.84001189608538e-17,2.8004581318958e-19,4.28569021077116,4,"CA3_do_combined","parity","Over-represented","Moderate"
"GO:0051234","establishment of localization",4,2,2,5.06033763192781e-19,3.92182341475017e-14,4.19011263917715,3.97915725632359e-13,2.64873974084917e-10,4.19011263917715,0.988562157812507,4.13923820250677,4.23837673031146,0.0991385278046915,"4.213;4.151;4.238;4.139","6.0e-13;1.2e-13;7.0e-13;4.3e-14","3.3e-10;1.4e-10;4.7e-10;4.8e-11","5pct;10pct;5pct;10pct","356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do","0.5;0.4;0.5;0.4","GO_BP","CA3_do_combined",TRUE,"v7_weighted_standalone",3.88380913250459e-17,4.19011263917715,4.19011263917715,3.92182341475017e-14,5.06033763192781e-19,4.19011263917715,4,"CA3_do_combined","parity","Over-represented","Moderate"
"GO:0098794","postsynapse",6,2,3,2.85388056300348e-18,1.50076423449433e-15,4.15654879118214,8.6568655682192e-10,7.06742193132541e-08,4.15654879118214,0.883828855937358,3.34311637287757,4.39761332677223,1.05449695389466,"4.106;4.398;3.343;4.143;4.376;3.447","2.0e-12;6.0e-15;7.5e-09;5.4e-12;2.4e-14;9.8e-09","6.0e-11;1.8e-13;6.2e-07;1.6e-10;5.8e-13;8.0e-07","5pct;10pct;25pct;5pct;10pct;25pct","356_CA3_do;356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do;358_CA3_do","0.5;0.4;0.1;0.5;0.4;0.1","GO_CC","CA3_do_combined",TRUE,"v7_weighted_standalone",1.94698073964904e-16,4.15654879118214,4.15654879118214,1.50076423449433e-15,2.85388056300348e-18,4.15654879118214,6,"CA3_do_combined","parity","Over-represented","Moderate"
"GO:0006810","transport",4,2,2,8.37086947486191e-18,1.3920762037342e-13,4.05989081813185,1.40083634657789e-12,4.41496905014268e-10,4.05989081813185,0.993712501912236,4.02210008647258,4.0787645945741,0.0566645081015276,"4.073;4.079;4.062;4.022","9.8e-13;7.4e-13;2.1e-12;1.7e-12","3.3e-10;2.7e-10;5.5e-10;6.2e-10","5pct;10pct;5pct;10pct","356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do","0.5;0.4;0.5;0.4","GO_BP","CA3_do_combined",TRUE,"v7_weighted_standalone",5.13971385756522e-16,4.05989081813185,4.05989081813185,1.3920762037342e-13,8.37086947486191e-18,4.05989081813185,4,"CA3_do_combined","parity","Over-represented","Moderate"
