ID,Description,n_studies,n_cell_types,n_percentages,weighted_meta_pvalue,weighted_meta_padj,weighted_mean_NES,weighted_mean_pvalue,weighted_mean_padj,weighted_enhanced_score,effect_consistency,min_NES,max_NES,nes_range,individual_NES,individual_pvalue,individual_padj,individual_percentages,individual_cell_types,individual_weights,database,meta_group,weighted_analysis,analysis_version,weighted_meta_padj_corrected
GO:0045202,synapse,4,2,2,3.761088731272402e-25,2.464108994353388e-21,4.7334378360830796,3.7644518214613754e-15,5.571466615572016e-13,4.7334378360830796,0.9399375346461945,4.480664914180662,5.035037030865373,0.5543721166847115,4.481;4.978;4.55;5.035,1.2e-14;3.5e-19;1.4e-15;3.7e-19,1.8e-12;6.9e-17;2.0e-13;7.2e-17,5pct;10pct;5pct;10pct,356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do,0.5;0.4;0.5;0.4,GO_CC,CA3_do_combined,TRUE,v7_weighted_standalone,2.3093084810012547e-22
GO:0043005,neuron projection,6,2,3,8.954983650331527e-21,1.5995675172898204e-17,4.357632631385524,7.284333306933063e-11,7.935626797587856e-9,4.357632631385524,0.8800000297571016,3.5428737390021405,4.672828034777341,1.1299542957752005,4.194;4.669;3.543;4.335;4.673;3.597,3.4e-13;2.1e-16;5.9e-10;1.5e-13;2.7e-16;8.7e-10,2.5e-11;8.4e-15;6.4e-08;1.1e-11;1.1e-14;9.5e-08,5pct;10pct;25pct;5pct;10pct;25pct,356_CA3_do;356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do;358_CA3_do,0.5;0.4;0.1;0.5;0.4;0.1,GO_CC,CA3_do_combined,TRUE,v7_weighted_standalone,2.749179980651779e-18
GO:0030054,cell junction,4,2,2,2.7857780112625746e-20,1.409750596224167e-17,4.3002380028253055,3.387608811095577e-12,8.356288738304528e-11,4.3002380028253055,0.910735355241191,3.9599238204643568,4.672144999092539,0.712221178628182,3.96;4.67;4.047;4.672,5.1e-12;6.6e-17;7.1e-12;1.4e-16,1.3e-10;6.5e-15;1.7e-10;7.1e-15,5pct;10pct;5pct;10pct,356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do,0.5;0.4;0.5;0.4,GO_CC,CA3_do_combined,TRUE,v7_weighted_standalone,5.085420963465945e-18
GO:0043209,myelin sheath,6,2,3,3.312977826362179e-20,2.5038511891973922e-17,4.295261411416217,1.68890891128436e-11,3.1245420267917094e-10,4.295261411416217,0.9006124427810975,3.868079632988016,4.80881054862962,0.9407309156416042,3.896;4.62;4.716;3.868;4.77;4.809,2.4e-11;1.5e-16;1.7e-16;4.4e-11;1.3e-16;1.0e-16,4.4e-10;7.8e-15;5.4e-14;8.1e-10;7.1e-15;3.3e-14,5pct;10pct;25pct;5pct;10pct;25pct,356_CA3_do;356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do;358_CA3_do,0.5;0.4;0.1;0.5;0.4;0.1,GO_CC,CA3_do_combined,TRUE,v7_weighted_standalone,5.085420963465945e-18
GO:0120025,plasma membrane bounded cell projection,4,2,2,9.115508179238802e-20,4.7012174437247395e-17,4.370827236506855,3.8853312495591875e-13,1.909666624930605e-11,4.370827236506855,0.9593857971154715,4.194231716628362,4.544667782437347,0.3504360658089851,4.194;4.533;4.278;4.545,1.0e-12;6.2e-15;3.4e-13;1.1e-14,5.2e-11;1.8e-13;1.7e-11;3.7e-13,5pct;10pct;5pct;10pct,356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do,0.5;0.4;0.5;0.4,GO_CC,CA3_do_combined,TRUE,v7_weighted_standalone,1.1193844044105248e-17
GO:0030424,axon,6,2,3,1.250492125801791e-19,1.1280382370050017e-16,4.322271786478429,2.2201011126652173e-11,2.8491207876591274e-9,4.322271786478429,0.8857892316769038,3.6804201082193746,4.781770628228054,1.1013505200086797,4.062;4.775;3.68;4.09;4.782;3.778,1.4e-11;1.6e-16;1.6e-10;8.3e-12;6.4e-17;1.7e-10,2.9e-10;7.8e-15;2.7e-08;1.8e-10;6.3e-15;2.8e-08,5pct;10pct;25pct;5pct;10pct;25pct,356_CA3_do;356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do;358_CA3_do,0.5;0.4;0.1;0.5;0.4;0.1,GO_CC,CA3_do_combined,TRUE,v7_weighted_standalone,1.2796702754038327e-17
GO:0042995,cell projection,4,2,2,2.8004581318957987e-19,8.840011896085378e-17,4.285690210771158,7.69097632118323e-13,2.419944750526421e-11,4.285690210771158,0.955827424676712,4.091246130251522,4.470464719922929,0.37921858967140665,4.091;4.457;4.195;4.47,2.0e-12;1.6e-14;7.1e-13;1.5e-14,6.0e-11;4.0e-13;2.6e-11;4.1e-13,5pct;10pct;5pct;10pct,356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do,0.5;0.4;0.5;0.4,GO_CC,CA3_do_combined,TRUE,v7_weighted_standalone,2.4564018471200288e-17
GO:0051234,establishment of localization,4,2,2,5.06033763192781e-19,3.921823414750166e-14,4.190112639177148,3.979157256323585e-13,2.648739740849168e-10,4.190112639177148,0.9885621578125071,4.139238202506771,4.238376730311463,0.09913852780469146,4.213;4.151;4.238;4.139,6.0e-13;1.2e-13;7.0e-13;4.3e-14,3.3e-10;1.4e-10;4.7e-10;4.8e-11,5pct;10pct;5pct;10pct,356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do,0.5;0.4;0.5;0.4,GO_BP,CA3_do_combined,TRUE,v7_weighted_standalone,3.883809132504594e-17
GO:0098794,postsynapse,6,2,3,2.85388056300348e-18,1.5007642344943255e-15,4.156548791182144,8.656865568219199e-10,7.067421931325413e-8,4.156548791182144,0.8838288559373583,3.343116372877572,4.397613326772235,1.0544969538946627,4.106;4.398;3.343;4.143;4.376;3.447,2.0e-12;6.0e-15;7.5e-09;5.4e-12;2.4e-14;9.8e-09,6.0e-11;1.8e-13;6.2e-07;1.6e-10;5.8e-13;8.0e-07,5pct;10pct;25pct;5pct;10pct;25pct,356_CA3_do;356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do;358_CA3_do,0.5;0.4;0.1;0.5;0.4;0.1,GO_CC,CA3_do_combined,TRUE,v7_weighted_standalone,1.946980739649041e-16
GO:0006810,transport,4,2,2,8.370869474861914e-18,1.3920762037341996e-13,4.059890818131852,1.4008363465778872e-12,4.4149690501426824e-10,4.059890818131852,0.9937125019122365,4.022100086472576,4.078764594574103,0.056664508101527566,4.073;4.079;4.062;4.022,9.8e-13;7.4e-13;2.1e-12;1.7e-12,3.3e-10;2.7e-10;5.5e-10;6.2e-10,5pct;10pct;5pct;10pct,356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do,0.5;0.4;0.5;0.4,GO_BP,CA3_do_combined,TRUE,v7_weighted_standalone,5.139713857565215e-16
