"dataset","original_name","unified_name","cluster_id","cell_class","hippocampal_field","interneuron_subtype","spatial_location"
"mouse10x_2020","10_Lamp5","Lamp5_IN",1,"CGE_Interneuron",NA,"Lamp5",NA
"mouse10x_2020","11_Lamp5","Lamp5_IN",1,"CGE_Interneuron",NA,"Lamp5",NA
"mouse10x_2020","7_Lamp5 Lhx6","Lamp5_IN",2,"CGE_Interneuron",NA,"Lamp5",NA
"mouse10x_2020","5_Lamp5 Lhx6","Lamp5_IN",2,"CGE_Interneuron",NA,"Lamp5",NA
"mouse10x_2020","6_Lamp5 Lhx6","Lamp5_IN",2,"CGE_Interneuron",NA,"Lamp5",NA
"mouse10x_2020","8_Lamp5 Lhx6","Lamp5_IN",2,"CGE_Interneuron",NA,"Lamp5",NA
"mouse10x_2020","9_Lamp5 Lhx6","Lamp5_IN",2,"CGE_Interneuron",NA,"Lamp5",NA
"mouse10x_2020","20_Pax6","20_Pax6",3,"Other",NA,NA,NA
"mouse10x_2020","28_Ntng1 HPF","Sncg_IN",4,"Other",NA,NA,"HPF"
"mouse10x_2020","17_Lamp5","Lamp5_IN",1,"CGE_Interneuron",NA,"Lamp5",NA
"mouse10x_2020","14_Lamp5","Lamp5/Vip_IN",5,"CGE_Interneuron",NA,"Lamp5",NA
"mouse10x_2020","15_Lamp5","Lamp5_IN",1,"CGE_Interneuron",NA,"Lamp5",NA
"mouse10x_2020","16_Lamp5","Lamp5_IN",1,"CGE_Interneuron",NA,"Lamp5",NA
"mouse10x_2020","62_Vip Igfbp6","Lamp5/Vip_IN",5,"CGE_Interneuron",NA,"Vip",NA
"mouse10x_2020","37_Sncg","Sncg_IN",4,"Hippocampal_Interneuron",NA,"Sncg",NA
"mouse10x_2020","39_Sncg","Sncg_IN",4,"Hippocampal_Interneuron",NA,"Sncg",NA
"mouse10x_2020","29_Ntng1 HPF","Sncg_IN",4,"Other",NA,NA,"HPF"
"mouse10x_2020","56_Vip HPF","Lamp5/Vip_IN",5,"CGE_Interneuron",NA,"Vip","HPF"
"mouse10x_2020","38_Sncg","Sncg_IN",4,"Hippocampal_Interneuron",NA,"Sncg",NA
"mouse10x_2020","32_Sncg","Sncg_IN",4,"Hippocampal_Interneuron",NA,"Sncg",NA
"mouse10x_2020","33_Sncg","Sncg_IN",4,"Hippocampal_Interneuron",NA,"Sncg",NA
"mouse10x_2020","31_Sncg","Sncg_IN",4,"Hippocampal_Interneuron",NA,"Sncg",NA
"mouse10x_2020","35_Sncg","Sncg_IN",4,"Hippocampal_Interneuron",NA,"Sncg",NA
"mouse10x_2020","22_Sncg","22_Sncg",6,"Hippocampal_Interneuron",NA,"Sncg",NA
"mouse10x_2020","34_Sncg","Sncg_IN",4,"Hippocampal_Interneuron",NA,"Sncg",NA
"mouse10x_2020","52_Vip","Vip_IN",7,"CGE_Interneuron",NA,"Vip",NA
"mouse10x_2020","21_Sncg","Sncg_IN",4,"Hippocampal_Interneuron",NA,"Sncg",NA
"mouse10x_2020","25_Sncg","Sncg_IN",4,"Hippocampal_Interneuron",NA,"Sncg",NA
"mouse10x_2020","26_Ntng1 HPF","Sncg_IN",4,"Other",NA,NA,"HPF"
"mouse10x_2020","27_Ntng1 HPF","Sncg_IN",4,"Other",NA,NA,"HPF"
"mouse10x_2020","30_Ntng1 HPF","30_Ntng1 HPF",8,"Other",NA,NA,"HPF"
"mouse10x_2020","4_Meis2 HPF","4_Meis2 HPF",9,"Hippocampal_Interneuron",NA,NA,"HPF"
"mouse10x_2020","193_L4/5 IT CTX","193_L4/5 IT CTX",10,"Cortical",NA,NA,NA
"mouse10x_2020","189_L4/5 IT CTX","189_L4/5 IT CTX",11,"Cortical",NA,NA,NA
"mouse10x_2020","192_L4/5 IT CTX","192_L4/5 IT CTX",12,"Cortical",NA,NA,NA
"mouse10x_2020","60_Vip Igfbp6","Vip_IN",13,"CGE_Interneuron",NA,"Vip",NA
"mouse10x_2020","363_DG","DG/CA1/CA2/CA3_dorsal",14,"Pyramidal","DG",NA,NA
"mouse10x_2020","99_Sst","Sst_IN",15,"MGE_Interneuron",NA,"Sst",NA
"mouse10x_2020","164_L2/3 IT CTX","164_L2/3 IT CTX",16,"Cortical",NA,NA,NA
"mouse10x_2020","59_Vip Igfbp6","Vip_IN",13,"CGE_Interneuron",NA,"Vip",NA
"mouse10x_2020","58_Vip Igfbp6","Vip_IN",13,"CGE_Interneuron",NA,"Vip",NA
"mouse10x_2020","61_Vip Igfbp6","Lamp5/Vip_IN",5,"CGE_Interneuron",NA,"Vip",NA
