"cell_type","dataset","mean_proportion","age_pval","parity_pval","region_pval","age_parity_pval","age_region_pval","parity_region_pval","three_way_pval","n_samples"
"28_Ntng1 HPF","mouse10x_2020",0.0579417632198541,0.0066084800911256,0.760196217293381,5.00115130074201e-07,0.537375890259943,0.00665934248185125,0.484356215252009,0.353495531626592,60
"324_ProS","mouse10x_2020",0.018792544485778,0.147490837770124,0.451931171313669,2.84751207124635e-06,0.263220052302087,0.00245088530119085,0.537129884346767,0.918766906858778,60
"33_Sncg","mouse10x_2020",0.00934445417125796,0.000431397345815066,0.466652874554563,9.07286907838438e-07,0.0642105839725351,0.0355524550201349,0.467332841582924,0.489571520120263,60
"34_Sncg","mouse10x_2020",0.0169242272172821,4.58724590918999e-11,0.187930171163267,1.59057456111332e-10,0.587990429330382,1.09974381638245e-07,0.723661167104873,0.536699100742657,60
"345_CA1","mouse10x_2020",0.0445490621257037,8.24397510762819e-06,0.0520487193145547,2.08346617443769e-05,0.271713655881297,0.817201490111279,0.844059297354713,0.882334440466549,60
"356_CA3-do","mouse10x_2020",0.0676189296390014,0.316923816886918,0.0101694945533665,2.97672503177953e-18,0.904488028222301,0.617847816367236,0.296259574540982,0.722919216487397,60
"357_CA3-do","mouse10x_2020",0.15787027981093,0.410414025206674,0.206606912723694,0.152380526688595,0.186513041259256,0.202079683284428,0.394457280402968,0.417093759118537,60
"358_CA3-do","mouse10x_2020",0.111317857268801,0.00366587680023131,0.246682802337497,3.13716961107299e-05,0.426857687926382,0.000238563303880234,0.640065174571889,0.19108256213398,60
"375_Oligo","mouse10x_2020",0.150774818346648,0.927752463342843,0.96430491222736,4.9486657804614e-16,0.295046253856404,0.0126604764320028,0.878139274987467,0.745628600585974,60
"376_Astro","mouse10x_2020",0.287290370773715,0.00571686117801186,0.0215943481269758,1.48874054543238e-12,0.707130238209788,0.423341096576381,0.714571952949691,0.846727819178248,60
"379_Endo","mouse10x_2020",0.0449187969668587,0.573702313607657,0.523314790329325,1.93143525746715e-06,0.736605562175504,0.149391728606547,0.417342193098793,0.320951080632917,60
"386_Micro-PVM","mouse10x_2020",0.0145278556847519,7.29602656383847e-10,0.382148309374186,0.000379095058402729,0.342674268085054,0.00301253353832958,0.413330936838195,0.479947723234598,60
"78_Sst HPF","mouse10x_2020",0.0164401951244265,1.74927226275147e-11,0.028671132145071,1.28843825856687e-08,0.959669064372171,0.00308421208268922,0.473144373566832,0.874272663966352,60
"336_CA1-ve","mouse_smartseq_2019",0.0348355395256474,0.0042355533316419,0.278551011206959,3.30284126634521e-18,0.701705846609343,0.0564561855128732,0.981242578891578,0.701796481272446,60
"344_CA1","mouse_smartseq_2019",0.160835123666709,0.000245413122370289,0.150442926657391,0.558743434323409,0.403777116931456,0.00640576842434084,0.73320332171391,0.895891886082592,60
"354_CA3-ve","mouse_smartseq_2019",0.145346930700267,0.000895556048324381,0.135724833746609,6.49224583717524e-16,0.143197032752236,0.0534480585323729,0.920308192655778,0.212933731857462,60
"358_CA3-do","mouse_smartseq_2019",0.636626115532009,0.406781158980675,0.00861923984531888,3.87145366190218e-17,0.187926638548142,0.598326693246096,0.724126962921549,0.452241021566373,60
"64_Sst Chodl","mouse_smartseq_2019",0.0161509783044859,0.307862434344871,0.30238429663613,3.83218919926063e-11,0.305140205319022,0.193240843927493,0.46938825155624,0.953467679371145,60
"271_NP SUB","yao_hippo_10x",0.0052185281509982,0.0167332349116038,0.38993842679557,1.05161695104508e-09,0.581042953307392,0.0167332349116039,0.389938426795572,0.581042953307391,60
"318_SUB","yao_hippo_10x",0.0220318035254954,0.0475150180324275,0.827973134181157,1.95548660462891e-05,0.831438241046298,0.0426267916286847,0.501827733481829,0.580009805462561,60
"324_ProS","yao_hippo_10x",0.0905385377094245,1.55365407748203e-07,0.779563440602334,0.00427320731901935,0.421567093982264,0.242263688860258,0.881585821210662,0.621758160221746,60
"329_CA1-ProS","yao_hippo_10x",0.0513159160545024,0.877946470433498,0.931226426527692,0.102149100523009,0.750430185173571,0.147610234118598,0.896662884648924,0.710123388708862,60
"345_CA1","yao_hippo_10x",0.121585825583583,2.3390153182628e-05,0.688261945031289,4.03242924357883e-10,0.296462777352795,7.81732021292869e-05,0.313051582185483,0.760320237956412,60
"352_CA3-ve","yao_hippo_10x",0.0310584111660852,0.183827287942274,0.360543322553751,1.44041870429476e-26,0.451889607233301,0.183827287942275,0.36054332255375,0.451889607233302,60
"356_CA3-do","yao_hippo_10x",0.163277616391137,0.016355992841002,0.20815327874248,1.48952073368738e-18,0.993813881354727,0.138948947556008,0.211902262233302,0.84466182959232,60
"357_CA3-do","yao_hippo_10x",0.36032088343478,0.934836963722794,0.548767946299743,4.80256174586253e-08,0.721579823619052,0.469637097568815,0.471356836687235,0.47285850401008,60
"358_CA3-do","yao_hippo_10x",0.154122570338725,6.72303296064172e-05,0.95219325999134,3.23149864331618e-08,0.896860992105373,0.0307925644851021,0.536132986146717,0.485837882868894,60
