"cell_type","ID","Description","n_methods","methods","databases","meta_pvalue","meta_fdr","consensus_score","mean_nes","nes_consistency","evidence_strength","association_p","expression_p","statistical_p","composite_p","association_nes","expression_nes","statistical_nes","composite_nes","meta_score","effect","confidence_tier","regulation_pattern"
"78_Sst_HPF","GO:0038023","signaling receptor activity",4,"association;expression;statistical;composite","GO Molecular Function",5.09144901841961e-35,9.14641271814383e-26,1,-1.1867328174126,0.979629069862382,7.46759346467374,2.28333333333333e-08,3.54636333225298e-08,3.43e-08,5.85911492319191e-08,-1.21995233809217,-1.17438754254697,-1.18811651994913,-1.16447486906212,7.31547163990874,"parity","Ultra-High","Downregulation"
"78_Sst_HPF","GO:0060089","molecular transducer activity",4,"association;expression;statistical;composite","GO Molecular Function",5.09144901841961e-35,9.14641271814383e-26,1,-1.1867328174126,0.979629069862382,7.46759346467374,2.28333333333333e-08,3.54636333225298e-08,3.43e-08,5.85911492319191e-08,-1.21995233809217,-1.17438754254697,-1.18811651994913,-1.16447486906212,7.31547163990874,"parity","Ultra-High","Downregulation"
"78_Sst_HPF","GO:0004888","transmembrane signaling receptor activity",4,"association;expression;statistical;composite","GO Molecular Function",5.02561936803543e-35,1.67075632611147e-25,1,-1.20412449466346,0.981260859103674,7.39921810592969,2.28333333333333e-08,3.54636333225298e-08,6.43866092932339e-08,5.85911492319191e-08,-1.23510440672287,-1.19340564198703,-1.20511906750698,-1.18286886243695,7.26056311532003,"parity","Ultra-High","Downregulation"
"78_Sst_HPF","mmu04080","Neuroactive ligand-receptor interaction",4,"association;expression;statistical;composite","KEGG Pathways",8.04586878189594e-32,2.5469895480357e-22,1,-1.26343882155676,0.975962795879598,6.61092495160479,3.62710545707305e-08,3.14683682830171e-07,7.52982593630125e-07,7.72166607335832e-07,-1.30477127145415,-1.25587133479742,-1.26124061808952,-1.23187206188595,6.45201679911841,"parity","High","Downregulation"
"78_Sst_HPF","MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3","MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3",4,"association;expression;statistical;composite","MSigDB Curated",1.34554051798885e-35,6.02484232708887e-22,1,-1.21537344831135,0.975642895579569,6.46085916536384,2.145e-07,4.24e-07,4.282e-07,4.215e-07,-1.25706545415965,-1.20260563489043,-1.21335057190747,-1.18847213228784,6.30349134402737,"parity","High","Downregulation"
"78_Sst_HPF","GO:0004930","G protein-coupled receptor activity",4,"association;expression;statistical;composite","GO Molecular Function",1.33254397158878e-28,4.51081898766486e-20,1,-1.25426828622201,0.973846684682519,6.0602548803439,2.29846976510131e-08,2.99204087312475e-06,6.75589111184617e-06,3.34583639848024e-06,-1.29912154507785,-1.23705392674121,-1.25685106378726,-1.22404660928172,5.90175912355397,"parity","High","Downregulation"
"78_Sst_HPF","REACTOME_GPCR_LIGAND_BINDING","REACTOME_GPCR_LIGAND_BINDING",4,"association;expression;statistical;composite","MSigDB Curated",4.75579361716788e-31,2.41123224208495e-18,1,-1.27113771597535,0.969349423853758,5.59391272769442,2.145e-07,7.016335164009e-06,3.35487641435381e-06,2.08238894885737e-05,-1.32484176100795,-1.25377178394701,-1.27178328958879,-1.23415402935765,5.42245607967879,"parity","High","Downregulation"
"78_Sst_HPF","R-MMU-500792","GPCR ligand binding",4,"association;expression;statistical;composite","Reactome Pathways",1.88148465536553e-27,1.15266013034307e-16,1,-1.26152036470878,0.970425638789841,5.17387788535408,3.23198260151135e-07,4.46296735936688e-05,4.13132219909523e-06,0.000108209671947034,-1.3121487709417,-1.24513887678598,-1.26386226381956,-1.22493154728788,5.02086375191536,"parity","High","Downregulation"
"78_Sst_HPF","REACTOME_SIGNALING_BY_GPCR","REACTOME_SIGNALING_BY_GPCR",4,"association;expression;statistical;composite","MSigDB Curated",2.01470126683067e-26,8.07807761771085e-15,1,-1.18024721531042,0.982026768479391,4.61850898485833,2.9499034791694e-06,8.05907190395052e-05,4.35667288218312e-05,5.90124149775474e-05,-1.2096418788344,-1.17128419087633,-1.17995233663667,-1.16011045489427,4.53549945359346,"parity","Moderate","Downregulation"
"78_Sst_HPF","REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS","REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS",4,"association;expression;statistical;composite","MSigDB Curated",2.85796620524964e-26,1.06827401448198e-14,1,-1.28624637956392,0.965603864318386,4.63135367458304,8.95746113936252e-07,6.59991415880402e-05,9.59827033993159e-05,0.000145475596606833,-1.34744787412409,-1.26652228069288,-1.28645043002371,-1.244564933415,4.47205300520254,"parity","Moderate","Downregulation"
